img_idx,p_psnr,p_ssim,p_tex,p_pdet,p_acc,p_n_ch,c_psnr,c_ssim,c_tex,c_pdet,c_acc,c_n_ch,su_psnr,su_ssim,su_tex,su_pdet,su_acc,su_n_ch,h_psnr,h_ssim,h_tex,h_pdet,h_acc,h_n_ch
2516,65.4391,0.999984,0.2089,0.1172,100.00,1218,64.9987,0.999821,0.0609,0.2578,100.00,1348,71.0973,0.999995,0.1648,0.1171,0.00,331,70.8798,0.999995,0.1692,0.1172,0.00,348
2554,65.1130,0.999985,0.2284,0.1743,100.00,1313,65.1328,0.999824,0.0507,0.3045,100.00,1307,70.1466,0.999996,0.2380,0.1740,0.00,412,69.1860,0.999998,0.2512,0.1740,0.00,514
2582,65.2747,0.999993,0.2581,0.7805,100.00,1265,65.1763,0.999939,0.0806,0.7971,100.00,1294,70.7085,0.999997,0.1907,0.7804,0.00,362,69.8908,0.999997,0.1817,0.7805,0.00,437
2703,65.1931,0.999966,0.1683,0.8100,100.00,1289,65.1196,0.999928,0.0760,0.8100,100.00,1311,71.5244,0.999991,0.1449,0.8103,0.00,300,70.3406,0.999993,0.1805,0.8103,0.00,394
2726,65.2100,0.999986,0.2268,0.7386,100.00,1284,65.0473,0.999963,0.1010,0.7385,100.00,1333,71.7777,0.999995,0.1558,0.7387,0.00,283,70.6608,0.999995,0.1587,0.7386,0.00,366
2782,65.1462,0.999987,0.2494,0.0134,100.00,1303,65.1696,0.999827,0.0626,0.0618,100.00,1296,70.9936,0.999993,0.1895,0.0134,0.00,339,69.9408,0.999995,0.1824,0.0133,0.00,432
2869,65.3126,0.999987,0.1941,0.3375,100.00,1254,65.2371,0.999867,0.0567,0.4824,100.00,1276,70.8923,0.999997,0.1744,0.3373,0.00,347,69.8023,0.999997,0.1717,0.3372,0.00,446
3053,65.1528,0.999963,0.1594,0.1085,100.00,1301,65.2167,0.999812,0.0384,0.2408,100.00,1282,70.6489,0.999987,0.1315,0.1085,0.00,367,69.8120,0.999990,0.1513,0.1084,0.00,445
3397,65.1495,0.999989,0.2906,0.7026,100.00,1302,65.1763,0.999918,0.1117,0.7353,100.00,1294,70.9936,0.999996,0.2165,0.7025,0.00,339,70.6371,0.999997,0.2212,0.7024,0.00,368
3506,65.2541,0.999960,0.1197,0.0081,100.00,1271,65.1428,0.999774,0.0265,0.0435,100.00,1304,70.3738,0.999993,0.1396,0.0080,0.00,391,69.6398,0.999994,0.1447,0.0080,0.00,463
